index	speaker	text	voice_cue	bank_name	subsong_index	subtitle_file	wav_file	metadata_file	script_path	line_no	voice_line_no	acb_path
1	麻央	――莉波。勝負衣装、\nとても似合っているよ。	sud_vo_adv_dear_hrnm_035_amao-001	sud_vo_adv_dear_hrnm_035	1	C:\Repositories\GakumasuVoice\output\mao\20260714_231604_limit100\items\0001_sud_vo_adv_dear_hrnm_035_amao-001_01_subtitle.txt	C:\Repositories\GakumasuVoice\output\mao\20260714_231604_limit100\items\0001_sud_vo_adv_dear_hrnm_035_amao-001_02_voice.wav	C:\Repositories\GakumasuVoice\output\mao\20260714_231604_limit100\items\0001_sud_vo_adv_dear_hrnm_035_amao-001_03_metadata.json	/data/data/com.bandainamcoent.idolmaster_gakuen/files/octo/v1/400/3/5231353033/892704e253818cd54d197444a3ab07a0	5	6	/data/data/com.bandainamcoent.idolmaster_gakuen/files/octo/v1/400/7/5237343437/134bb60c7c40a597f3851dc90a5b8c40
2	麻央	今日、莉波と同じステージに立てて、\n本当に嬉しいよ。	sud_vo_adv_dear_hrnm_035_amao-002	sud_vo_adv_dear_hrnm_035	2	C:\Repositories\GakumasuVoice\output\mao\20260714_231604_limit100\items\0002_sud_vo_adv_dear_hrnm_035_amao-002_01_subtitle.txt	C:\Repositories\GakumasuVoice\output\mao\20260714_231604_limit100\items\0002_sud_vo_adv_dear_hrnm_035_amao-002_02_voice.wav	C:\Repositories\GakumasuVoice\output\mao\20260714_231604_limit100\items\0002_sud_vo_adv_dear_hrnm_035_amao-002_03_metadata.json	/data/data/com.bandainamcoent.idolmaster_gakuen/files/octo/v1/400/3/5231353033/892704e253818cd54d197444a3ab07a0	23	24	/data/data/com.bandainamcoent.idolmaster_gakuen/files/octo/v1/400/7/5237343437/134bb60c7c40a597f3851dc90a5b8c40
3	麻央	キミとの間に、言葉はいらないね。	sud_vo_adv_dear_hrnm_035_amao-003	sud_vo_adv_dear_hrnm_035	3	C:\Repositories\GakumasuVoice\output\mao\20260714_231604_limit100\items\0003_sud_vo_adv_dear_hrnm_035_amao-003_01_subtitle.txt	C:\Repositories\GakumasuVoice\output\mao\20260714_231604_limit100\items\0003_sud_vo_adv_dear_hrnm_035_amao-003_02_voice.wav	C:\Repositories\GakumasuVoice\output\mao\20260714_231604_limit100\items\0003_sud_vo_adv_dear_hrnm_035_amao-003_03_metadata.json	/data/data/com.bandainamcoent.idolmaster_gakuen/files/octo/v1/400/3/5231353033/892704e253818cd54d197444a3ab07a0	29	30	/data/data/com.bandainamcoent.idolmaster_gakuen/files/octo/v1/400/7/5237343437/134bb60c7c40a597f3851dc90a5b8c40
4	麻央	勝っても負けても、恨みっこなしだ。	sud_vo_adv_dear_hrnm_035_amao-004	sud_vo_adv_dear_hrnm_035	4	C:\Repositories\GakumasuVoice\output\mao\20260714_231604_limit100\items\0004_sud_vo_adv_dear_hrnm_035_amao-004_01_subtitle.txt	C:\Repositories\GakumasuVoice\output\mao\20260714_231604_limit100\items\0004_sud_vo_adv_dear_hrnm_035_amao-004_02_voice.wav	C:\Repositories\GakumasuVoice\output\mao\20260714_231604_limit100\items\0004_sud_vo_adv_dear_hrnm_035_amao-004_03_metadata.json	/data/data/com.bandainamcoent.idolmaster_gakuen/files/octo/v1/400/3/5231353033/892704e253818cd54d197444a3ab07a0	34	35	/data/data/com.bandainamcoent.idolmaster_gakuen/files/octo/v1/400/7/5237343437/134bb60c7c40a597f3851dc90a5b8c40
5	麻央	……っ！？	sud_vo_adv_pstory_001_amao_after-audition-final-normal-01_amao-001	sud_vo_adv_pstory_001_amao_after-audition-final-normal-01	1	C:\Repositories\GakumasuVoice\output\mao\20260714_231604_limit100\items\0005_sud_vo_adv_pstory_001_amao_after-audition-final-normal-01_amao-001_01_subtitle.txt	C:\Repositories\GakumasuVoice\output\mao\20260714_231604_limit100\items\0005_sud_vo_adv_pstory_001_amao_after-audition-final-normal-01_amao-001_02_voice.wav	C:\Repositories\GakumasuVoice\output\mao\20260714_231604_limit100\items\0005_sud_vo_adv_pstory_001_amao_after-audition-final-normal-01_amao-001_03_metadata.json	/data/data/com.bandainamcoent.idolmaster_gakuen/files/octo/v1/400/3/5233343633/538c10a1b81f9c4505faebec06876427	13	14	/data/data/com.bandainamcoent.idolmaster_gakuen/files/octo/v1/400/8/5236393938/6da97c70ad3b42b25479456e5277ffae
6	麻央	……やっ――――たぁ。	sud_vo_adv_pstory_001_amao_after-audition-final-normal-01_amao-002	sud_vo_adv_pstory_001_amao_after-audition-final-normal-01	2	C:\Repositories\GakumasuVoice\output\mao\20260714_231604_limit100\items\0006_sud_vo_adv_pstory_001_amao_after-audition-final-normal-01_amao-002_01_subtitle.txt	C:\Repositories\GakumasuVoice\output\mao\20260714_231604_limit100\items\0006_sud_vo_adv_pstory_001_amao_after-audition-final-normal-01_amao-002_02_voice.wav	C:\Repositories\GakumasuVoice\output\mao\20260714_231604_limit100\items\0006_sud_vo_adv_pstory_001_amao_after-audition-final-normal-01_amao-002_03_metadata.json	/data/data/com.bandainamcoent.idolmaster_gakuen/files/octo/v1/400/3/5233343633/538c10a1b81f9c4505faebec06876427	16	17	/data/data/com.bandainamcoent.idolmaster_gakuen/files/octo/v1/400/8/5236393938/6da97c70ad3b42b25479456e5277ffae
7	麻央	ふっ、最高の結果ですか。\n悪くない気分ですね。	sud_vo_adv_pstory_001_amao_after-audition-final-normal-01_amao-003	sud_vo_adv_pstory_001_amao_after-audition-final-normal-01	3	C:\Repositories\GakumasuVoice\output\mao\20260714_231604_limit100\items\0007_sud_vo_adv_pstory_001_amao_after-audition-final-normal-01_amao-003_01_subtitle.txt	C:\Repositories\GakumasuVoice\output\mao\20260714_231604_limit100\items\0007_sud_vo_adv_pstory_001_amao_after-audition-final-normal-01_amao-003_02_voice.wav	C:\Repositories\GakumasuVoice\output\mao\20260714_231604_limit100\items\0007_sud_vo_adv_pstory_001_amao_after-audition-final-normal-01_amao-003_03_metadata.json	/data/data/com.bandainamcoent.idolmaster_gakuen/files/octo/v1/400/3/5233343633/538c10a1b81f9c4505faebec06876427	21	22	/data/data/com.bandainamcoent.idolmaster_gakuen/files/octo/v1/400/8/5236393938/6da97c70ad3b42b25479456e5277ffae
8	麻央	え、い、いいですよ……\n子供じゃないんですから。	sud_vo_adv_pstory_001_amao_after-audition-final-normal-01_amao-004	sud_vo_adv_pstory_001_amao_after-audition-final-normal-01	4	C:\Repositories\GakumasuVoice\output\mao\20260714_231604_limit100\items\0008_sud_vo_adv_pstory_001_amao_after-audition-final-normal-01_amao-004_01_subtitle.txt	C:\Repositories\GakumasuVoice\output\mao\20260714_231604_limit100\items\0008_sud_vo_adv_pstory_001_amao_after-audition-final-normal-01_amao-004_02_voice.wav	C:\Repositories\GakumasuVoice\output\mao\20260714_231604_limit100\items\0008_sud_vo_adv_pstory_001_amao_after-audition-final-normal-01_amao-004_03_metadata.json	/data/data/com.bandainamcoent.idolmaster_gakuen/files/octo/v1/400/3/5233343633/538c10a1b81f9c4505faebec06876427	28	29	/data/data/com.bandainamcoent.idolmaster_gakuen/files/octo/v1/400/8/5236393938/6da97c70ad3b42b25479456e5277ffae
9	麻央	……む、わ、わかりました。\nそれじゃあ……	sud_vo_adv_pstory_001_amao_after-audition-final-normal-01_amao-005	sud_vo_adv_pstory_001_amao_after-audition-final-normal-01	5	C:\Repositories\GakumasuVoice\output\mao\20260714_231604_limit100\items\0009_sud_vo_adv_pstory_001_amao_after-audition-final-normal-01_amao-005_01_subtitle.txt	C:\Repositories\GakumasuVoice\output\mao\20260714_231604_limit100\items\0009_sud_vo_adv_pstory_001_amao_after-audition-final-normal-01_amao-005_02_voice.wav	C:\Repositories\GakumasuVoice\output\mao\20260714_231604_limit100\items\0009_sud_vo_adv_pstory_001_amao_after-audition-final-normal-01_amao-005_03_metadata.json	/data/data/com.bandainamcoent.idolmaster_gakuen/files/octo/v1/400/3/5233343633/538c10a1b81f9c4505faebec06876427	37	38	/data/data/com.bandainamcoent.idolmaster_gakuen/files/octo/v1/400/8/5236393938/6da97c70ad3b42b25479456e5277ffae
10	麻央	や、やったー！	sud_vo_adv_pstory_001_amao_after-audition-final-normal-01_amao-006	sud_vo_adv_pstory_001_amao_after-audition-final-normal-01	6	C:\Repositories\GakumasuVoice\output\mao\20260714_231604_limit100\items\0010_sud_vo_adv_pstory_001_amao_after-audition-final-normal-01_amao-006_01_subtitle.txt	C:\Repositories\GakumasuVoice\output\mao\20260714_231604_limit100\items\0010_sud_vo_adv_pstory_001_amao_after-audition-final-normal-01_amao-006_02_voice.wav	C:\Repositories\GakumasuVoice\output\mao\20260714_231604_limit100\items\0010_sud_vo_adv_pstory_001_amao_after-audition-final-normal-01_amao-006_03_metadata.json	/data/data/com.bandainamcoent.idolmaster_gakuen/files/octo/v1/400/3/5233343633/538c10a1b81f9c4505faebec06876427	42	43	/data/data/com.bandainamcoent.idolmaster_gakuen/files/octo/v1/400/8/5236393938/6da97c70ad3b42b25479456e5277ffae
