index	speaker	text	voice_cue	bank_name	subsong_index	subtitle_file	wav_file	metadata_file	script_path	line_no	voice_line_no	acb_path
1	燕	なんだと？\n休んでいる場合なのか？	sud_vo_adv_pstory_002_atbm_ending-normal-02_atbm-001	sud_vo_adv_pstory_002_atbm_ending-normal-02	1	C:\Repositories\GakumasuVoice\output\tsubame\20260715_014559_limit100\items\0001_sud_vo_adv_pstory_002_atbm_ending-normal-02_atbm-001_01_subtitle.txt	C:\Repositories\GakumasuVoice\output\tsubame\20260715_014559_limit100\items\0001_sud_vo_adv_pstory_002_atbm_ending-normal-02_atbm-001_02_voice.wav	C:\Repositories\GakumasuVoice\output\tsubame\20260715_014559_limit100\items\0001_sud_vo_adv_pstory_002_atbm_ending-normal-02_atbm-001_03_metadata.json	/data/data/com.bandainamcoent.idolmaster_gakuen/files/octo/v1/400/3/5233363633/c3a40e05945f85382e38231d45193416	13	17	/data/data/com.bandainamcoent.idolmaster_gakuen/files/octo/v1/400/6/523130383136/d2d37d2ef135ea6cd47c0abc0ab6d355
2	燕	むぅ……それはそうだが……\nもっと焦れと貴様は言っただろう？	sud_vo_adv_pstory_002_atbm_ending-normal-02_atbm-002	sud_vo_adv_pstory_002_atbm_ending-normal-02	2	C:\Repositories\GakumasuVoice\output\tsubame\20260715_014559_limit100\items\0002_sud_vo_adv_pstory_002_atbm_ending-normal-02_atbm-002_01_subtitle.txt	C:\Repositories\GakumasuVoice\output\tsubame\20260715_014559_limit100\items\0002_sud_vo_adv_pstory_002_atbm_ending-normal-02_atbm-002_02_voice.wav	C:\Repositories\GakumasuVoice\output\tsubame\20260715_014559_limit100\items\0002_sud_vo_adv_pstory_002_atbm_ending-normal-02_atbm-002_03_metadata.json	/data/data/com.bandainamcoent.idolmaster_gakuen/files/octo/v1/400/3/5233363633/c3a40e05945f85382e38231d45193416	26	27	/data/data/com.bandainamcoent.idolmaster_gakuen/files/octo/v1/400/6/523130383136/d2d37d2ef135ea6cd47c0abc0ab6d355
3	燕	無茶を言うな！！	sud_vo_adv_pstory_002_atbm_ending-normal-02_atbm-003	sud_vo_adv_pstory_002_atbm_ending-normal-02	3	C:\Repositories\GakumasuVoice\output\tsubame\20260715_014559_limit100\items\0003_sud_vo_adv_pstory_002_atbm_ending-normal-02_atbm-003_01_subtitle.txt	C:\Repositories\GakumasuVoice\output\tsubame\20260715_014559_limit100\items\0003_sud_vo_adv_pstory_002_atbm_ending-normal-02_atbm-003_02_voice.wav	C:\Repositories\GakumasuVoice\output\tsubame\20260715_014559_limit100\items\0003_sud_vo_adv_pstory_002_atbm_ending-normal-02_atbm-003_03_metadata.json	/data/data/com.bandainamcoent.idolmaster_gakuen/files/octo/v1/400/3/5233363633/c3a40e05945f85382e38231d45193416	33	34	/data/data/com.bandainamcoent.idolmaster_gakuen/files/octo/v1/400/6/523130383136/d2d37d2ef135ea6cd47c0abc0ab6d355
4	燕	だが、秦谷の指導が……	sud_vo_adv_pstory_002_atbm_ending-normal-02_atbm-004	sud_vo_adv_pstory_002_atbm_ending-normal-02	4	C:\Repositories\GakumasuVoice\output\tsubame\20260715_014559_limit100\items\0004_sud_vo_adv_pstory_002_atbm_ending-normal-02_atbm-004_01_subtitle.txt	C:\Repositories\GakumasuVoice\output\tsubame\20260715_014559_limit100\items\0004_sud_vo_adv_pstory_002_atbm_ending-normal-02_atbm-004_02_voice.wav	C:\Repositories\GakumasuVoice\output\tsubame\20260715_014559_limit100\items\0004_sud_vo_adv_pstory_002_atbm_ending-normal-02_atbm-004_03_metadata.json	/data/data/com.bandainamcoent.idolmaster_gakuen/files/octo/v1/400/3/5233363633/c3a40e05945f85382e38231d45193416	46	47	/data/data/com.bandainamcoent.idolmaster_gakuen/files/octo/v1/400/6/523130383136/d2d37d2ef135ea6cd47c0abc0ab6d355
5	燕	……分かった。\nそこまで言うなら休ませてもらう。	sud_vo_adv_pstory_002_atbm_ending-normal-02_atbm-005	sud_vo_adv_pstory_002_atbm_ending-normal-02	5	C:\Repositories\GakumasuVoice\output\tsubame\20260715_014559_limit100\items\0005_sud_vo_adv_pstory_002_atbm_ending-normal-02_atbm-005_01_subtitle.txt	C:\Repositories\GakumasuVoice\output\tsubame\20260715_014559_limit100\items\0005_sud_vo_adv_pstory_002_atbm_ending-normal-02_atbm-005_02_voice.wav	C:\Repositories\GakumasuVoice\output\tsubame\20260715_014559_limit100\items\0005_sud_vo_adv_pstory_002_atbm_ending-normal-02_atbm-005_03_metadata.json	/data/data/com.bandainamcoent.idolmaster_gakuen/files/octo/v1/400/3/5233363633/c3a40e05945f85382e38231d45193416	51	54	/data/data/com.bandainamcoent.idolmaster_gakuen/files/octo/v1/400/6/523130383136/d2d37d2ef135ea6cd47c0abc0ab6d355
6	燕	フン、分かっている。	sud_vo_adv_pstory_002_atbm_ending-normal-02_atbm-006	sud_vo_adv_pstory_002_atbm_ending-normal-02	6	C:\Repositories\GakumasuVoice\output\tsubame\20260715_014559_limit100\items\0006_sud_vo_adv_pstory_002_atbm_ending-normal-02_atbm-006_01_subtitle.txt	C:\Repositories\GakumasuVoice\output\tsubame\20260715_014559_limit100\items\0006_sud_vo_adv_pstory_002_atbm_ending-normal-02_atbm-006_02_voice.wav	C:\Repositories\GakumasuVoice\output\tsubame\20260715_014559_limit100\items\0006_sud_vo_adv_pstory_002_atbm_ending-normal-02_atbm-006_03_metadata.json	/data/data/com.bandainamcoent.idolmaster_gakuen/files/octo/v1/400/3/5233363633/c3a40e05945f85382e38231d45193416	66	67	/data/data/com.bandainamcoent.idolmaster_gakuen/files/octo/v1/400/6/523130383136/d2d37d2ef135ea6cd47c0abc0ab6d355
7	燕	全力で戦い続けるために、休む。\nこれも、アイドルの基本だからな。	sud_vo_adv_pstory_002_atbm_ending-normal-02_atbm-007	sud_vo_adv_pstory_002_atbm_ending-normal-02	7	C:\Repositories\GakumasuVoice\output\tsubame\20260715_014559_limit100\items\0007_sud_vo_adv_pstory_002_atbm_ending-normal-02_atbm-007_01_subtitle.txt	C:\Repositories\GakumasuVoice\output\tsubame\20260715_014559_limit100\items\0007_sud_vo_adv_pstory_002_atbm_ending-normal-02_atbm-007_02_voice.wav	C:\Repositories\GakumasuVoice\output\tsubame\20260715_014559_limit100\items\0007_sud_vo_adv_pstory_002_atbm_ending-normal-02_atbm-007_03_metadata.json	/data/data/com.bandainamcoent.idolmaster_gakuen/files/octo/v1/400/3/5233363633/c3a40e05945f85382e38231d45193416	70	73	/data/data/com.bandainamcoent.idolmaster_gakuen/files/octo/v1/400/6/523130383136/d2d37d2ef135ea6cd47c0abc0ab6d355
8	燕	秦谷はどこに行ったァ！？	sud_vo_adv_csprt-3-0079_01_atbm-001	sud_vo_adv_csprt-3-0079_01	1	C:\Repositories\GakumasuVoice\output\tsubame\20260715_014559_limit100\items\0008_sud_vo_adv_csprt-3-0079_01_atbm-001_01_subtitle.txt	C:\Repositories\GakumasuVoice\output\tsubame\20260715_014559_limit100\items\0008_sud_vo_adv_csprt-3-0079_01_atbm-001_02_voice.wav	C:\Repositories\GakumasuVoice\output\tsubame\20260715_014559_limit100\items\0008_sud_vo_adv_csprt-3-0079_01_atbm-001_03_metadata.json	/data/data/com.bandainamcoent.idolmaster_gakuen/files/octo/v1/400/3/5234393333/75ddfa6a7a3271d4e21869d62eb863f0	4	5	/data/data/com.bandainamcoent.idolmaster_gakuen/files/octo/v1/400/9/5238363939/5d8ae82b54df4e7333acdc6f77e0419a
9	燕	サボった1年生を探すために、\nそこまでするのか？	sud_vo_adv_csprt-3-0079_01_atbm-002	sud_vo_adv_csprt-3-0079_01	2	C:\Repositories\GakumasuVoice\output\tsubame\20260715_014559_limit100\items\0009_sud_vo_adv_csprt-3-0079_01_atbm-002_01_subtitle.txt	C:\Repositories\GakumasuVoice\output\tsubame\20260715_014559_limit100\items\0009_sud_vo_adv_csprt-3-0079_01_atbm-002_02_voice.wav	C:\Repositories\GakumasuVoice\output\tsubame\20260715_014559_limit100\items\0009_sud_vo_adv_csprt-3-0079_01_atbm-002_03_metadata.json	/data/data/com.bandainamcoent.idolmaster_gakuen/files/octo/v1/400/3/5234393333/75ddfa6a7a3271d4e21869d62eb863f0	26	27	/data/data/com.bandainamcoent.idolmaster_gakuen/files/octo/v1/400/9/5238363939/5d8ae82b54df4e7333acdc6f77e0419a
10	燕	やつは忍者の娘か！？	sud_vo_adv_csprt-3-0079_01_atbm-003	sud_vo_adv_csprt-3-0079_01	3	C:\Repositories\GakumasuVoice\output\tsubame\20260715_014559_limit100\items\0010_sud_vo_adv_csprt-3-0079_01_atbm-003_01_subtitle.txt	C:\Repositories\GakumasuVoice\output\tsubame\20260715_014559_limit100\items\0010_sud_vo_adv_csprt-3-0079_01_atbm-003_02_voice.wav	C:\Repositories\GakumasuVoice\output\tsubame\20260715_014559_limit100\items\0010_sud_vo_adv_csprt-3-0079_01_atbm-003_03_metadata.json	/data/data/com.bandainamcoent.idolmaster_gakuen/files/octo/v1/400/3/5234393333/75ddfa6a7a3271d4e21869d62eb863f0	43	44	/data/data/com.bandainamcoent.idolmaster_gakuen/files/octo/v1/400/9/5238363939/5d8ae82b54df4e7333acdc6f77e0419a
